CATEGORY,GEAR,ABBREVIATION,ISSCFG_CODE,TYPE,BUFFER
SURROUNDING NETS,PURSE SEINES,PS,01.1,MOBILE,200
SURROUNDING NETS,SURROUNDING NETS WITHOUT PURSE LINES,LA,01.2,MOBILE,200
SURROUNDING NETS,SURROUNDING NETS (NEI),SUX,01.9,MOBILE,200
SEINE NETS,BEACH SEINES,SB,02.1,MOBILE,200
SEINE NETS,BOAT SEINES,SV,02.2,MOBILE,200
SEINE NETS,SEINE NETS (NEI,SX,02.9,MOBILE,200
TRAWLS,BEAM TRAWLS,TBB,03.11,MOBILE,200
TRAWLS,SINGLE BOAT BOTTOM OTTER TRAWLS,OTB,03.12,MOBILE,200
TRAWLS,TWIN BOTTOM OTTER TRAWLS,OTT,03.13,MOBILE,200
TRAWLS,MULTIPLE BOTTOM OTTER TRAWLS,OTP,03.14,MOBILE,200
TRAWLS,BOTTOM PAIR TRAWLS,PTB,03.15,MOBILE,200
TRAWLS,BOTTOM TRAWLS (NEI),TBB,03.19,MOBILE,200
TRAWLS,SINGLE BOAT MIDWATER OTTER TRAWLS,OTM,03.21,MOBILE,200
TRAWLS,MIDWATER PAIR TRAWLS,PTM,03.22,MOBILE,200
TRAWLS,MIDWATER TRAWLS (NEI),TM,03.29,MOBILE,200
TRAWLS,SEMIPELAGIC TRAWLS,TSP,03.3,MOBILE,200
TRAWLS,TRAWLS (NEI),TX,03.9,MOBILE,200
DREDGES,TOWED DREDGES,DRB,04.1,MOBILE,50
DREDGES,HAND DREDGES,DRH,04.2,MOBILE,50
DREDGES,MECHANIZED DREDGES,DRM,04.3,MOBILE,50
DREDGES,DREDGES (NEI),DRX,04.9,MOBILE,50
LIFT NETS,PORTABLE LIFT NETS,LNP,05.1,MOBILE,NA
LIFT NETS,BOAT-OPERATED LIFT NETS,LNB,05.2,MOBILE,NA
LIFT NETS,SHORE-OPERATED LIFT NETS,LNS,05.3,FIXED,NA
LIFT NETS,LIFT NETS (NEI),LN,05.9,NA,NA
FALLING GEAR,CAST NETS,FCN,06.1,MOBILE,NA
FALLING GEAR,COVER POTS / LANTERN NETS,FCO,06.2,FIXED,NA
FALLING GEAR,FALLING GEAR (NEI),FG,06.9,NA,NA
GILLNETS AND ENTANGLING NETS,SET GILLNETS (ANCHORED),GNS,07.1,FIXED,200
GILLNETS AND ENTANGLING NETS,DRIFT GILLNETS,GND,07.2,MOBILE,NA
GILLNETS AND ENTANGLING NETS,ENCIRCLING GILLNETS,GNC,07.3,MOBILE,NA
GILLNETS AND ENTANGLING NETS,FIXED GILLNETS (ON STAKES),GNF,07.4,FIXED,50
GILLNETS AND ENTANGLING NETS,TRAMMEL NETS,GTR,07.5,FIXED,NA
GILLNETS AND ENTANGLING NETS,COMBINED GILLNETS-TRAMMEL NETS,GTN,07.6,FIXED,NA
GILLNETS AND ENTANGLING NETS,GILLNETS AND ENTANGLING NETS (NEI),GEN,07.9,FIXED,NA
TRAPS,STATIONARY UNCOVERED POUND NETS,FPN,08.1,FIXED,50
TRAPS,POTS,FPO,08.2,FIXED,200
TRAPS,FYKE NETS,FYK,08.3,FIXED,50
TRAPS,STOW NETS,FSN,08.4,FIXED,NA
TRAPS,BARRIERS / FENCES / WEIRS / ETC.,FWR,08.5,FIXED,50
TRAPS,AERIAL TRAPS,FAR,08.6,FIXED,NA
TRAPS,TRAPS (NEI),FIX,08.9,FIXED,NA
HOOKS AND LINES,HANDLINES AND HAND OPERATED POLE AND LINES,LHP,09.1,NA,NA
HOOKS AND LINES,MECHANIZED LINES AND POLE AND LINES,LHM,09.2,NA,NA
HOOKS AND LINES,SET LONGLINES,LLS,09.31,FIXED,200
HOOKS AND LINES,DRIFTING LONGLINES,LLD,09.32,MOBILE,NA
HOOKS AND LINES,LONGLINES (NEI),LL,09.39,NA,NA
HOOKS AND LINES,VERTICAL LINES,LVT,09.4,NA,NA
HOOKS AND LINES,TROLLING LINES,LTL,09.5,NA,NA
HOOKS AND LINES,HOOKS AND LINES (NEI),LX,09.9,NA,NA
MISCELLANEOUS,HARPOONS,HAR,10.1,NA,NA
,HAND IMPLEMENTS,MHI,10.2,NA,NA
,PUMPS,MPM,10.3,NA,NA
,ELECTRIC FISHING,MEL,10.4,NA,NA
,PUSHNETS,MPN,10.5,NA,NA
,SCOOPNETS,MSP,10.6,NA,NA
,DRIVE IN NETS,MDR,10.7,NA,NA
,DIVING ,MDV,10.8,NA,NA
,GEAR NEI,MIS,10.9,NA,NA
GEAR NOT KNOWN,GEAR NOT KNOWN,NK,99.9,NA,NA
