Make,Model,MinSalin,MaxSalin,MinDo,MaxDo,MinPress,MaxPress,MinTemp,MaxTemp
LOWELL,MAT-P,NA,NA,NA,NA,-5,260,-5,50
LOWELL,DOT-2,NA,NA,0,60,NA,NA,0,50
NKE,WISENS CTDS,2,42,NA,NA,-5,300,-2,35
NKE,WISENS TD,NA,NA,NA,NA,-5,1000,-2,35
ONSET,HOBO TIDBIT V2,NA,NA,NA,NA,-5,300,-20,30
ONSET,HOBO DISSOLVED OXYGEN,NA,NA,0,30,NA,NA,-5,40
ONSET,HOBO DEEP OCEAN,NA,NA,NA,NA,-5,11000,-40,125
VEMCO,MINILOG,NA,NA,NA,NA,-5,500,-20,50
MARPORT,ALL,NA,NA,NA,NA,-5,1600,-5,25
ZEBRATECH,MOANA-200,NA,NA,NA,NA,-5,200,-20,35
ZEBRATECH,MOANA-1000,NA,NA,NA,NA,-5,1000,-20,35
